"Timestamp","Do you have a library card?","About how many times a year do you visit a public library?","About how many items per year does your household check out from a public library?","Of the above, about how many are speculative fiction (sci-fi, fantasy, horror, alternate history, and similar)?","Do you like to read any of the following (mark all that apply)?","What is your preference for print versus electronic books?","When choosing a book to read, how important are the following factors? [High rating online (e.g. on Goodreads or Amazon)]","When choosing a book to read, how important are the following factors? [I recognize the author.]","When choosing a book to read, how important are the following factors? [It is the first book in a series.]","When choosing a book to read, how important are the following factors? [I am a big fan of this sub-genre.]","When choosing a book to read, how important are the following factors? [I have read other books in this series.]","When choosing a book to read, how important are the following factors? [The library has several other books in this series.]","When choosing a book to read, how important are the following factors? [This book ties in with or is related to a movie or TV show that I like. ]","When choosing a book to read, how important are the following factors? [The book is on the ""new books"" shelf or has a ""new"" sticker.]","When choosing a book to read, how important are the following factors? [I read a review of this book.]","When choosing a book to read, how important are the following factors? [I've heard this book is a ""classic"".]","When choosing a book to read, how important are the following factors? [A library employee recommended this book.]","When choosing a book to read, how important are the following factors? [This book won a reward.]","When choosing a book to read, how important are the following factors? [Other (please write in below)]","If you filled in anything for ""other"" above, what did you have in mind?","Do any of the following describe you? (mark all that apply)","What is your age?","What is the highest level of education you have completed?","What is your gender?","How many people live in your household?","What is your annual household income?","What is your zip code?"
"2018/04/27 11:00:20 AM MDT","Yes","21 or more times per year","More than fifty items","One or fewer items","Young Adult Novels;Adult Novels","1","Very Important","Very Important","Moderately Important","Very Important","Not Very Important","Not At All Important","Not At All Important","Moderately Important","Not Very Important","Not At All Important","Not At All Important","Not At All Important","","","Public Librarian","25-34","Bachelors degree","Female","4-6","$50,001 to $100,000","85048"
"2018/04/27 12:10:38 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","3","Moderately Important","Not At All Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Moderately Important","Not Very Important","Very Important","Not At All Important","Extremely Important","Not At All Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","4-6","$101,000 to $250,000","92139"
"2018/04/27 12:48:16 PM MDT","Yes","21 or more times per year","More than fifty items","More than fifty items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","4","Moderately Important","Moderately Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not At All Important","Moderately Important","Not Very Important","Not At All Important","Very Important","Very Important","","","","35-54","Bachelors degree","Female","4-6","$101,000 to $250,000","55107"
"2018/04/27 1:19:15 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Audiobooks","4","Moderately Important","Very Important","Moderately Important","Moderately Important","Very Important","Very Important","Not Very Important","Moderately Important","Very Important","Not Very Important","Very Important","Moderately Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","4-6","Over $500,000","94043"
"2018/04/27 1:33:12 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Adult Novels;Short Fiction","4","Not Very Important","Not Very Important","Not Very Important","Moderately Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not At All Important","Not Very Important","Mentioned by a friend.","Public Librarian","55-64","Masters Degree and/or professional license","Male","4-6","$101,000 to $250,000","95051"
"2018/04/27 1:43:01 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels;Audiobooks","4","Moderately Important","Not At All Important","Very Important","Not Very Important","Moderately Important","Moderately Important","Not At All Important","Not At All Important","Very Important","Not At All Important","Extremely Important","Extremely Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Male","One","$20,000 to $50,000","53211"
"2018/04/27 1:49:52 PM MDT","Yes","4-10 times per year","6-20 items","6-20 items","Adult Novels","1","","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","","","","","","","","","","35-54","Bachelors degree","Prefer not to say","2-3","$20,000 to $50,000",""
"2018/04/27 2:01:47 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","2","Not Very Important","Moderately Important","Very Important","Moderately Important","Very Important","Not Very Important","Not At All Important","Not At All Important","Not Very Important","Not At All Important","Very Important","Not Very Important","","","Public Librarian","35-54","Two year degree and/or trade apprenticeship","Female","2-3","$20,000 to $50,000","04085"
"2018/04/27 2:02:40 PM MDT","Yes","","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","6","Moderately Important","Not Very Important","","Moderately Important","","","Not At All Important","Not At All Important","Moderately Important","Moderately Important","Moderately Important","Very Important","Extremely Important","I left the questions about series blank, because I generally avoid series these days.  There are too many other books to read!","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$20,000 to $50,000","70809"
"2018/04/27 3:25:40 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Short Fiction;Audiobooks","4","Moderately Important","Not Very Important","Very Important","Moderately Important","Moderately Important","Very Important","Moderately Important","Not At All Important","Very Important","Moderately Important","Very Important","Very Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","One","$20,000 to $50,000","48197"
"2018/04/27 4:10:27 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels;Audiobooks","6","Not Very Important","Very Important","Moderately Important","Not Very Important","Moderately Important","Not Very Important","Not At All Important","Not At All Important","Not Very Important","Not At All Important","Not Very Important","Not At All Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","44313"
"2018/04/27 4:27:02 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels","1","Moderately Important","Very Important","Very Important","Extremely Important","Extremely Important","Very Important","Moderately Important","Not Very Important","Extremely Important","Moderately Important","Very Important","Very Important","","","Public Librarian","35-54","Bachelors degree","Female","2-3","$50,001 to $100,000","95062"
"2018/04/27 5:44:54 PM MDT","Yes","21 or more times per year","21-50 items","21-50 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","1","Not At All Important","Extremely Important","Very Important","Very Important","Extremely Important","Extremely Important","Moderately Important","Moderately Important","Very Important","Very Important","Very Important","Very Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Male","One","$50,001 to $100,000","91505"
"2018/04/27 8:52:17 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","2","Very Important","Very Important","Not Very Important","Not Very Important","Moderately Important","Not At All Important","Not At All Important","Moderately Important","Moderately Important","Not At All Important","Very Important","Very Important","Moderately Important","","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","95482"
"2018/04/28 6:26:16 AM MDT","Yes","21 or more times per year","More than fifty items","2-5 items","Adult Novels","5","Moderately Important","Not At All Important","Moderately Important","Not Very Important","Moderately Important","Very Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Not Very Important","Not Very Important","","","Public Librarian","55-64","Bachelors degree","Female","2-3","$50,001 to $100,000","73112"
"2018/04/28 6:32:57 AM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels","7","Very Important","Not Very Important","Very Important","Very Important","Moderately Important","Not At All Important","Not At All Important","Not Very Important","Moderately Important","Moderately Important","Not At All Important","Very Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","78752"
"2018/04/28 8:26:46 AM MDT","Yes","4-10 times per year","21-50 items","21-50 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","4","Moderately Important","Moderately Important","Not Very Important","Moderately Important","Not Very Important","Moderately Important","Not Very Important","Not Very Important","Moderately Important","Very Important","Not At All Important","Moderately Important","","","","35-54","Masters Degree and/or professional license","Female","4-6","$101,000 to $250,000","97330"
"2018/04/28 9:28:30 AM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","1","Not Very Important","Not Very Important","Not Very Important","Moderately Important","Moderately Important","Not Very Important","Moderately Important","Moderately Important","Moderately Important","Not Very Important","Moderately Important","Moderately Important","Moderately Important","Intriguing premise, plot summary or cover","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","$101,000 to $250,000","60714"
"2018/04/28 12:08:12 PM MDT","Yes","21 or more times per year","21-50 items","6-20 items","Young Adult Novels;Adult Novels;Audiobooks","4","Moderately Important","Not Very Important","Very Important","Moderately Important","Moderately Important","Moderately Important","Not At All Important","Not At All Important","Very Important","Not At All Important","Moderately Important","Not Very Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","25704"
"2018/04/28 12:57:08 PM MDT","Yes","1-3 times per year","2-5 items","2-5 items","Young Adult Novels;Adult Novels;Short Fiction","4","Moderately Important","Moderately Important","Very Important","Very Important","Very Important","Not Very Important","Not At All Important","Not At All Important","Moderately Important","Very Important","Very Important","Very Important","","","","35-54","Bachelors degree","Female","One","$101,000 to $250,000",""
"2018/04/28 1:30:53 PM MDT","Yes","21 or more times per year","21-50 items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction","2","Moderately Important","Moderately Important","Moderately Important","Very Important","Very Important","Moderately Important","Moderately Important","Very Important","Very Important","Very Important","Very Important","Moderately Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","$101,000 to $250,000","94805"
"2018/04/28 6:11:47 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Audiobooks","3","Very Important","Not At All Important","Not At All Important","Moderately Important","Moderately Important","Moderately Important","Not At All Important","Not At All Important","Not Very Important","Moderately Important","Very Important","Very Important","","","Public Librarian","35-54","Doctorate","Female","2-3","$50,001 to $100,000",""
"2018/04/28 6:14:25 PM MDT","Yes","21 or more times per year","21-50 items","2-5 items","Young Adult Novels","3","Not Very Important","Not Very Important","Very Important","Not Very Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","","","","12-17","Some junior high or high school","Prefer not to say","4-6","Don't know or prefer not to say","90027"
"2018/04/28 6:21:06 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Adult Novels","1","Not Very Important","Not At All Important","Extremely Important","Moderately Important","Very Important","Not At All Important","Not Very Important","Not At All Important","Moderately Important","Extremely Important","Moderately Important","Not At All Important","","","","12-17","Some junior high or high school","Female","2-3","Under $20,000","90020"
"2018/04/28 6:38:32 PM MDT","Yes","11-20 times per year","6-20 items","2-5 items","Young Adult Novels;Short Fiction;Audiobooks","2","Moderately Important","Moderately Important","Very Important","Very Important","Moderately Important","Very Important","Moderately Important","Very Important","Very Important","Not Very Important","Moderately Important","Moderately Important","","","","12-17","Some junior high or high school","Female","4-6","$20,000 to $50,000","90039"
"2018/04/28 6:59:13 PM MDT","Yes","11-20 times per year","6-20 items","One or fewer items","Young Adult Novels","4","Moderately Important","Not Very Important","Not Very Important","Moderately Important","Not Very Important","Moderately Important","Very Important","Moderately Important","Moderately Important","Not Very Important","Moderately Important","Moderately Important","","","","18-24","Some junior high or high school","Female","4-6","Don't know or prefer not to say",""
"2018/04/28 7:26:46 PM MDT","Yes","4-10 times per year","6-20 items","One or fewer items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","3","Moderately Important","Moderately Important","Very Important","Moderately Important","Moderately Important","Moderately Important","Moderately Important","Moderately Important","Not Very Important","Not Very Important","Not At All Important","Not At All Important","Not At All Important","","","12-17","Some junior high or high school","Female","4-6","$20,000 to $50,000",""
"2018/04/28 8:31:01 PM MDT","Yes","4-10 times per year","6-20 items","6-20 items","Young Adult Novels;Short Fiction","6","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","","Humanities Scholar or Academic Librarian","35-54","Masters Degree and/or professional license","Female","4-6","$50,001 to $100,000","90031"
"2018/04/28 8:42:48 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","2","Moderately Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Moderately Important","Not Very Important","Not At All Important","","","12-17","Some junior high or high school","Female","4-6","Don't know or prefer not to say","90039"
"2018/04/28 9:13:57 PM MDT","Yes","21 or more times per year","21-50 items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction","4","Not Very Important","Not At All Important","Extremely Important","Moderately Important","Very Important","Moderately Important","Not At All Important","Not At All Important","Not Very Important","Moderately Important","Very Important","Very Important","","","","12-17","Some junior high or high school","Male","4-6","Don't know or prefer not to say",""
"2018/04/29 7:34:47 AM MDT","Yes","21 or more times per year","21-50 items","2-5 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","1","Not Very Important","Moderately Important","Very Important","Not Very Important","Very Important","Not At All Important","Not At All Important","Not At All Important","Very Important","Very Important","Very Important","Not At All Important","Extremely Important","I am a huge fan of debut novels.","Public Librarian","Over 64","Bachelors degree","Prefer not to say","2-3","$20,000 to $50,000","44077"
"2018/04/29 8:09:46 AM MDT","Yes","4-10 times per year","6-20 items","2-5 items","Young Adult Novels;Adult Novels;Audiobooks","1","Moderately Important","Very Important","Moderately Important","Moderately Important","Very Important","Very Important","Very Important","Moderately Important","Very Important","Moderately Important","Very Important","Very Important","","","Primary or Secondary Teacher or School Librarian","35-54","Masters Degree and/or professional license","Female","4-6","$101,000 to $250,000","27958"
"2018/04/29 9:45:25 AM MDT","Yes","21 or more times per year","6-20 items","2-5 items","Young Adult Novels;Adult Novels","1","Not Very Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Very Important","Very Important","Extremely Important","Extremely Important","","","Extremely Important","","","12-17","Some junior high or high school","Female","4-6","Don't know or prefer not to say",""
"2018/04/29 11:03:30 AM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Adult Novels;Short Fiction","1","Not Very Important","Moderately Important","Not Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Moderately Important","Not Very Important","Not Very Important","","","","Over 64","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","90039"
"2018/04/29 11:08:28 AM MDT","Yes","21 or more times per year","More than fifty items","2-5 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","2","Moderately Important","Moderately Important","Not Very Important","Very Important","Moderately Important","Very Important","Moderately Important","Very Important","Extremely Important","Very Important","Extremely Important","Moderately Important","","","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$101,000 to $250,000","95008"
"2018/04/29 1:23:37 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels","4","Moderately Important","Moderately Important","Very Important","Very Important","Extremely Important","Very Important","Not Very Important","Very Important","Very Important","Not Very Important","Very Important","Not At All Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Male","4-6","$50,001 to $100,000","25438"
"2018/04/29 2:39:40 PM MDT","Yes","4-10 times per year","6-20 items","2-5 items","Young Adult Novels;Adult Novels;Short Fiction","3","Not At All Important","Not Very Important","Not Very Important","Moderately Important","Moderately Important","Not At All Important","Not At All Important","Not At All Important","Not Very Important","Moderately Important","Not Very Important","Not Very Important","Not At All Important","","","12-17","Some junior high or high school","Male","4-6","$101,000 to $250,000","90026"
"2018/04/29 2:43:36 PM MDT","No","Less than once per year","One or fewer items","One or fewer items","Young Adult Novels;Adult Novels;Short Fiction","6","Not At All Important","Moderately Important","Not Very Important","Extremely Important","Moderately Important","Not At All Important","Not At All Important","Not At All Important","Moderately Important","Not At All Important","Not At All Important","Not At All Important","Very Important","An author I know, whose books I enjoy, recommends a book","","Over 64","Bachelors degree","Prefer not to say","2-3","Don't know or prefer not to say","58103"
"2018/04/29 3:19:22 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Audiobooks","2","Moderately Important","Not At All Important","Not Very Important","Not Very Important","Not Very Important","Moderately Important","Not At All Important","Not At All Important","Not Very Important","Not At All Important","Moderately Important","Not At All Important","","","Primary or Secondary Teacher or School Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000",""
"2018/04/29 5:11:32 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Adult Novels;Short Fiction;Audiobooks","4","Moderately Important","Not Very Important","Not At All Important","Moderately Important","Very Important","Moderately Important","Not Very Important","Moderately Important","Very Important","Moderately Important","Very Important","Very Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","4-6","Don't know or prefer not to say",""
"2018/04/29 5:54:31 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels","1","Not Very Important","Not Very Important","Moderately Important","Moderately Important","Very Important","Very Important","Not Very Important","Not Very Important","Very Important","Not Very Important","Moderately Important","Not Very Important","","","","Over 64","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","15101"
"2018/04/29 8:56:25 PM MDT","Yes","4-10 times per year","6-20 items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction","3","Moderately Important","Not At All Important","Not Very Important","Very Important","Very Important","Very Important","Not At All Important","Not Very Important","Moderately Important","Not Very Important","Very Important","Moderately Important","","","","35-54","Some College","","4-6","Over $500,000","55311"
"2018/04/30 12:05:37 PM MDT","Yes","21 or more times per year","21-50 items","21-50 items","Young Adult Novels;Adult Novels;Audiobooks","4","Very Important","Moderately Important","Moderately Important","Moderately Important","Very Important","Moderately Important","Not At All Important","Not At All Important","Very Important","Very Important","Not Very Important","Moderately Important","","","Professional Writer (more than half your income comes from writing)","35-54","Bachelors degree","Male","4-6","$250,001 to $500,000","90039"
"2018/04/30 5:19:53 PM MDT","Yes","1-3 times per year","6-20 items","6-20 items","Young Adult Novels;Adult Novels;Audiobooks","4","Moderately Important","Not Very Important","Moderately Important","Moderately Important","Not Very Important","Moderately Important","Moderately Important","Not At All Important","Moderately Important","Moderately Important","Not Very Important","Not Very Important","Very Important","The book is available in the format I'm interested in at that time.","Public Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$20,000 to $50,000","06460"
"2018/04/30 6:51:24 PM MDT","Yes","11-20 times per year","2-5 items","2-5 items","Young Adult Novels;Audiobooks","4","Not At All Important","Moderately Important","Extremely Important","Very Important","Extremely Important","Extremely Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Moderately Important","Not Very Important","","","","12-17","Some junior high or high school","Male","4-6","Don't know or prefer not to say",""
"2018/04/30 8:22:34 PM MDT","Yes","11-20 times per year","21-50 items","2-5 items","Adult Novels;Short Fiction;Audiobooks","3","Moderately Important","Very Important","Not At All Important","Moderately Important","Moderately Important","Moderately Important","Moderately Important","Moderately Important","Very Important","Very Important","Extremely Important","Very Important","","","Entertainment Industry Professional","35-54","Bachelors degree","Female","4-6","Don't know or prefer not to say","91208"
"2018/04/30 10:39:37 PM MDT","Yes","4-10 times per year","2-5 items","More than fifty items","Young Adult Novels","3","Very Important","Moderately Important","Very Important","Extremely Important","Extremely Important","Very Important","Moderately Important","Moderately Important","Very Important","Very Important","Very Important","Extremely Important","","","","12-17","High school diploma or GED","Male","4-6","$20,000 to $50,000","90027"
"2018/05/01 2:23:54 PM MDT","Yes","21 or more times per year","6-20 items","2-5 items","Young Adult Novels;Adult Novels","1","Not Very Important","Extremely Important","Extremely Important","Moderately Important","Extremely Important","Very Important","Moderately Important","Moderately Important","Moderately Important","Not Very Important","Moderately Important","Moderately Important","","","","35-54","Some College","Female","4-6","Don't know or prefer not to say",""
"2018/05/01 4:44:08 PM MDT","Yes","21 or more times per year","21-50 items","6-20 items","Young Adult Novels;Adult Novels","3","Not Very Important","Not Very Important","Moderately Important","Not At All Important","Moderately Important","Moderately Important","Not Very Important","Not Very Important","Moderately Important","Very Important","Very Important","Moderately Important","","","","12-17","Some junior high or high school","Female","2-3","Don't know or prefer not to say","90026"
"2018/05/01 4:46:44 PM MDT","Yes","1-3 times per year","One or fewer items","One or fewer items","Adult Novels","1","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","","Professional Writer (more than half your income comes from writing)","12-17","6th grade or lower","Female","2-3","$50,001 to $100,000","90057"
"2018/05/01 5:20:25 PM MDT","Yes","21 or more times per year","More than fifty items","More than fifty items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","2","Not Very Important","Very Important","Very Important","Very Important","Moderately Important","Moderately Important","Not At All Important","Not Very Important","Moderately Important","Moderately Important","Very Important","Moderately Important","","","Public Librarian","35-54","Bachelors degree","Male","2-3","$50,001 to $100,000",""
"2018/05/01 5:35:27 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Short Fiction","1","Not Very Important","Moderately Important","Extremely Important","Not At All Important","Very Important","Moderately Important","Not At All Important","Not Very Important","Not At All Important","Not At All Important","Moderately Important","Not Very Important","","","","12-17","6th grade or lower","Female","4-6","Don't know or prefer not to say",""
"2018/05/02 11:36:54 AM MDT","Yes","21 or more times per year","6-20 items","2-5 items","Young Adult Novels;Adult Novels;Audiobooks","2","Moderately Important","Not Very Important","Moderately Important","Moderately Important","Not Very Important","Moderately Important","Not Very Important","Not At All Important","Not Very Important","Not Very Important","Moderately Important","Moderately Important","","","Public Librarian","25-34","Bachelors degree","Female","2-3","Don't know or prefer not to say",""
"2018/05/03 1:56:06 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Adult Novels;Short Fiction","1","Very Important","Extremely Important","Not At All Important","Moderately Important","Not At All Important","Not At All Important","Not Very Important","Not Very Important","Extremely Important","Not At All Important","Moderately Important","Very Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","Don't know or prefer not to say",""
"2018/05/04 10:36:55 AM MDT","Yes","21 or more times per year","21-50 items","More than fifty items","Young Adult Novels;Adult Novels","1","Very Important","Moderately Important","","Very Important","Very Important","Extremely Important","Very Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","","","Public Librarian","55-64","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","90065"
"2018/05/06 1:43:27 AM MDT","Yes","21 or more times per year","21-50 items","6-20 items","Young Adult Novels;Short Fiction","1","Not At All Important","Not At All Important","Extremely Important","Not At All Important","Extremely Important","Extremely Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","","","12-17","Some junior high or high school","Prefer not to say","4-6","Don't know or prefer not to say",""
"2018/05/08 11:10:33 AM MDT","I don't remember","Less than once per year","One or fewer items","One or fewer items","Adult Novels","7","Moderately Important","Extremely Important","Not Very Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","I read the first few chapters. If I like what I see, I buy it.","","35-54","Masters Degree and/or professional license","Male","4-6","Don't know or prefer not to say",""
"2018/05/08 12:00:52 PM MDT","Yes","4-10 times per year","21-50 items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","4","Not Very Important","Moderately Important","","Moderately Important","Moderately Important","Not Very Important","Not At All Important","Moderately Important","Not At All Important","Not At All Important","Not Very Important","Not At All Important","Moderately Important","recommendations by friends","","55-64","Some College","Male","2-3","Don't know or prefer not to say","92081"
"2018/05/08 1:15:47 PM MDT","Yes","11-20 times per year","21-50 items","21-50 items","Young Adult Novels;Adult Novels","2","Not Very Important","Very Important","Very Important","Very Important","Very Important","Not Very Important","Not Very Important","Moderately Important","Moderately Important","Moderately Important","Moderately Important","","Extremely Important","If the book won an award, I consider the award carefully. Many (eg. Hugo or Nebula) have become negative indicators of readability (books that appeal to a fairly insular group of award givers, rather than the general reader base).","","35-54","Masters Degree and/or professional license","Male","2-3","$50,001 to $100,000","98001"
"2018/05/08 3:35:10 PM MDT","Yes","Less than once per year","6-20 items","2-5 items","Young Adult Novels;Adult Novels","5","Moderately Important","Not Very Important","Moderately Important","Extremely Important","Very Important","Extremely Important","Not At All Important","Not At All Important","Not Very Important","Not At All Important","Not At All Important","Not At All Important","","","","35-54","Bachelors degree","Male","2-3","$50,001 to $100,000","91320"
"2018/05/08 4:24:45 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels;Audiobooks","2","Moderately Important","Very Important","Moderately Important","Very Important","Very Important","Not Very Important","Not At All Important","Not Very Important","Moderately Important","Moderately Important","Moderately Important","Not Very Important","Very Important","An interesting synopsis can get me interested in a book.  Also word of mouth from friends can get me to try a book.","Primary or Secondary Teacher or School Librarian","35-54","Masters Degree and/or professional license","Male","One","$50,001 to $100,000",""
"2018/05/08 4:27:35 PM MDT","Yes","4-10 times per year","2-5 items","2-5 items","Adult Novels","7","Moderately Important","Moderately Important","Moderately Important","Moderately Important","Moderately Important","Moderately Important","Not Very Important","Very Important","Very Important","Moderately Important","Very Important","Moderately Important","","","","Over 64","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000",""
"2018/05/08 9:49:11 PM MDT","Yes","21 or more times per year","21-50 items","6-20 items","Young Adult Novels;Adult Novels;Audiobooks","7","Very Important","Moderately Important","Moderately Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Very Important","Extremely Important","Extremely Important","Very Important","Not At All Important","","Public Librarian;Humanities Scholar or Academic Librarian","12-17","Some junior high or high school","Male","4-6","$20,000 to $50,000","2653"
"2018/05/09 3:19:34 PM MDT","Yes","1-3 times per year","2-5 items","2-5 items","Adult Novels;Short Fiction","2","Not At All Important","Very Important","Not Very Important","Very Important","Moderately Important","Moderately Important","Not At All Important","Not Very Important","Not Very Important","Not At All Important","Not Very Important","Not At All Important","","","","55-64","Two year degree and/or trade apprenticeship","Male","One","$101,000 to $250,000","80228"
"2018/05/09 5:18:19 PM MDT","Yes","4-10 times per year","6-20 items","6-20 items","","3","Not Very Important","Moderately Important","Moderately Important","Moderately Important","Moderately Important","Not Very Important","Not Very Important","Moderately Important","Not Very Important","Moderately Important","Moderately Important","Not At All Important","","","","Over 64","Masters Degree and/or professional license","Male","2-3","$50,001 to $100,000",""
"2018/05/09 9:53:28 PM MDT","Yes","21 or more times per year","More than fifty items","More than fifty items","Young Adult Novels;Adult Novels;Short Fiction","1","Not At All Important","Not Very Important","Not Very Important","Not Very Important","Moderately Important","Moderately Important","Not At All Important","Not Very Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","The summary on the inside flap/back cover.  It needs give me a general idea of what the book is about and convey the overall flavor without giving away too much.  Not blurbs, not somebody talking about how groundbreaking the book was; just tell me what it's about.","","25-34","Bachelors degree","Female","2-3","",""
"2018/05/10 12:04:12 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","4","Not Very Important","Moderately Important","Moderately Important","Very Important","Moderately Important","Very Important","Moderately Important","Not At All Important","Not Very Important","Not At All Important","Moderately Important","Not Very Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","$20,000 to $50,000","48108"
"2018/05/12 12:57:06 AM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","5","Moderately Important","Moderately Important","Very Important","Very Important","Extremely Important","Moderately Important","Not Very Important","Moderately Important","Moderately Important","Very Important","Extremely Important","Moderately Important","","","Public Librarian;Humanities Scholar or Academic Librarian","35-54","Masters Degree and/or professional license","Male","2-3","$101,000 to $250,000","94590"
